"label","target","source"
"Gen","Siddhartha Mukherjee","Paul Berg, laureat Nagrody Nobla w dziedzinie chemii"
"Głębokie Południe","Paul Theroux","Agnieszka Obszańska"
"Głębokie Południe","Paul Theroux","„Kirkus Reviews”"
"Głębokie Południe","Paul Theroux","„New York Times Book Review”"
"Głębokie Południe","Paul Theroux","„Publishers Weekly”"
"Global Nation","Grzegorz Kopaczewski","Bartosz Marzec"
"Global Nation","Grzegorz Kopaczewski","Marcin Hamkało"
"Global Nation","Grzegorz Kopaczewski","Muniek Staszczyk"
"Głośnik w głowie","Aneta Pawłowska-Krać","Jacek Hołub"
"Głosy kobiet","Miriam Toews","Margaret Atwood"
"Głosy kobiet","Miriam Toews","Lauren Groff"
"Głosy kobiet","Miriam Toews","„The New York Times”"
"Głosy kobiet","Miriam Toews","„The Wall Street Journal”"
"Głosy kobiet","Miriam Toews","„The Washington Post”"
"Głosy kobiet","Miriam Toews","„The New Yorker”"
"Głosy kobiet","Miriam Toews","„The New York Times Book Review”"
"Głosy starego morza","Norman Lewis","Katarzyna Kobylarczyk"
"Głuptaska","Swietłana Wasilenko","Süddeutsche Zeitung"
"Głuptaska","Swietłana Wasilenko","Die Welt"
"Głuptaska","Swietłana Wasilenko","Piotr Huniewicz"
"Głuptaska","Swietłana Wasilenko","Anna Żebrowska"
"Głuptaska","Swietłana Wasilenko","Adam Pomorski"
"Gmina","Miloš Doležal","Dariusz Suska"
"Gmina","Miloš Doležal","Marcin Baran"
"Gmina","Miloš Doležal","Janusz Drzewucki"
"Gmina","Miloš Doležal","Bartek Dobroch"
"Gmina","Miloš Doležal","Dominik Andrzejewski"
"Gmina","Miloš Doležal","Szymon Babuchowski"
"Gniazdo","Jędrzej Pasierski","Marta Bratkowska, „Książki”"
"Gniazdo","Jędrzej Pasierski","Amelia Sarnowska, Onet.pl"
"Gniazdo","Jędrzej Pasierski","Marta Guzowska, blog „Zbrodnicze siostrzyczki”"
"Gniazdo","Jędrzej Pasierski","Marta Matyszczak, blog „Kawiarenka kryminalna”"
"Gniazdo","Jędrzej Pasierski","Paulina Stoparek, portal „Zbrodnia w bibliotece”"
"Gniew","Tomasz S. Markiewka","Grzegorz Sroczyński"
"Gniew","Tomasz S. Markiewka","Adriana Rozwadowska"
"Godzina rebeliantów","Lieve Joris","Dariusz Rosiak, autor książki “Żar. Oddech Afryki”"
"Godzina rebeliantów","Lieve Joris","Libération"
"Godzina rebeliantów","Lieve Joris","Publishers Weekly"
"Godzina rebeliantów","Lieve Joris","Paul Theroux"
"Godzina szakala","Bernhard Jaumann","„Spiegel Online”"
"Godzina szakala","Bernhard Jaumann","Reinhard Jahn (Bochumer Krimi Archiv)"
"Godzina szakala","Bernhard Jaumann","„Die Zeit”"
"Gołębie wzlatują","Melinda Nadj Abonji","Jury Deutscher Buchpreis"
"Gołębie wzlatują","Melinda Nadj Abonji","Natasza Goerke"
"Gombrowicz","Klementyna Suchanow","Michał Paweł Markowski"
"Gomułka","Piotr Lipiński","Marta Perchuć-Burzyńska"
"Gorączka złota","Tomáš  Forró","Mateusz Mazzini"
"Góra w Tybecie","Colin Thubron","„The Daily Telegraph”"
"Góra w Tybecie","Colin Thubron","„The Sunday Times”"
"Góra w Tybecie","Colin Thubron","Ian Thompson, „The Irish Times”"
"Góra w Tybecie","Colin Thubron","Joanna Kanvenna, „The Observer”"
"Góra w Tybecie","Colin Thubron","Justin Marozzi, „Evening Standard”"
"Gorsze","Angela Saini","Joanna Czeczott"
"Gorsze dzieci Republiki","Ludwika Włodek","Michał Okoński"
"Gottland","Mariusz Szczygieł","Adam Michnik"
"Gottland","Mariusz Szczygieł","Julian Barnes, „The Guardian”"
"Gottland","Mariusz Szczygieł","Agnieszka Holland"
"Gottland","Mariusz Szczygieł","Larry Rother, „The New York Times”"
"Gottland","Mariusz Szczygieł","„Le Figaro”"
"Gottland","Mariusz Szczygieł","Victor Sebestyen, „The Spectator”"
"Gottland","Mariusz Szczygieł","Madeleine LaRue, „Quarterly Conversation”"
"Gottland","Mariusz Szczygieł","„Wiener Zeitung”"
"Gottland","Mariusz Szczygieł","„Liberation”"
"Gottland","Mariusz Szczygieł","Mythili Rao, „The Daily Beast”"
"Gottland","Mariusz Szczygieł","„La Repubblica”"
"Gottland","Mariusz Szczygieł","„Kommiersant”"
"Grabarki","Taina Tervonen","Katarzyna Kobylarczyk"
"Grabarki","Taina Tervonen","„Libération”"
"Grabarki","Taina Tervonen","„La Croix”"
"Grabarki","Taina Tervonen","„L’Obs”"
"Granica","Kapka Kassabova","Małgorzata Rejmer"
"Granica","Kapka Kassabova","Colin Thubron"
"Granica","Kapka Kassabova","James McConnachie, „The Sunday Times”"
"Granica","Kapka Kassabova","Sara Wheeler, „Observer”"
"Granica","Kapka Kassabova","Alev Scott, „Financial Times”"
"Granica","Kapka Kassabova","Teddy Jamieson, „Herald”"
"Granica","Kapka Kassabova","Mark Mazower, „Guardian”"
"Granica","Kapka Kassabova","„Economist”"
"Granice marzeń","Tomasz Grzywaczewski","Wojciech Górecki"
"Gra w życie","Aleksander Kaczorowski","Mariusz Szczygieł"
"Gra w życie","Aleksander Kaczorowski","Ryszard Kozik"
"Gra w życie","Aleksander Kaczorowski","Leszek Engelking"
"Gra w życie","Aleksander Kaczorowski","Anna Budyńska"
"Greenpoint","Ewa Winnicka","Ewa Winnicka"
"Greenpoint","Ewa Winnicka","Artur Domosławski"
"Grobowiec dla Borysa Dawidowicza","Danilo Kiš","Krzysztof Varga"
"Grobowiec dla Borysa Dawidowicza","Danilo Kiš","Andrzej Stasiuk"
"Grobowiec dla Borysa Dawidowicza","Danilo Kiš","Aleksander Kaczorowski"
"Grobowiec dla Borysa Dawidowicza","Danilo Kiš","Paulina Wilk"
"Grobowiec dla Borysa Dawidowicza","Danilo Kiš","Marta Dvořák"
"Grobowiec w Sewilli","Norman Lewis","Prof. Anna Sawicka"
"Grobowiec w Sewilli","Norman Lewis","„The Guardian”"
"Grobowiec w Sewilli","Norman Lewis","„Kirkus Reviews”"
"Grobowiec w Sewilli","Norman Lewis","„The New York Times”"
"Grochów","Andrzej Stasiuk","Andrzej Stasiuk"
"Grochów","Andrzej Stasiuk","Tadeusz Sobolewski"
"Grochów","Andrzej Stasiuk","Zofia Król"
"Grochów","Andrzej Stasiuk","Piotr Bratkowski"
"Grunge","Piotr Jagielski","Dave Abbruzzese, perkusista Pearl Jam w latach 1991–1994"
"Grzybnia","Jelena Czyżowa","Weronika Murek"
"Gugara","Andrzej Dybczak","Andrzej Stasiuk"
"Guguły","Wioletta Grzegorzewska","Sylwia Chutnik"
"Guguły","Wioletta Grzegorzewska","Andrzej Muszyński"
"Gulasz z turula","Krzysztof Varga","Tadeusz Olszański"
"Gulasz z turula","Krzysztof Varga","Robert Makłowicz"
"Gulasz z turula","Krzysztof Varga","Aleksander Kaczorowski"
"Gulasz z turula","Krzysztof Varga","Dariusz Nowacki"
"Gure","Katarzyna Mirgos","Katarzyna Kobylarczyk"
"Hajstry","Adam Robiński","Stanisław Łubieński"
"Hanka","Maciej Jakubowiak","Joanna Kuciel-Frydryszak"
"Hanka","Maciej Jakubowiak","Zyta Rudzka"
"Harald","Birger Amundsen","Adam Wajrak"
"Hartland","Wolfgang Büscher","Agnieszka Lichnerowicz"
"Havel","Aleksander Kaczorowski","Mariusz Szczygieł"
"Havel","Aleksander Kaczorowski","Artur Domosławski"
"Hawaikum","Monika Kozień","Filip Springer"
"Hawaikum","Monika Kozień","Marcin Smerda"
"Hawaikum","Marta Miskowiec","Filip Springer"
"Hawaikum","Marta Miskowiec","Marcin Smerda"
"Hawaikum","Agata Pankiewicz","Filip Springer"
"Hawaikum","Agata Pankiewicz","Marcin Smerda"
"Hawana","Mark Kurlansky","„The New York Times”"
"Hawana","Mark Kurlansky","„The Washington Post”"
"Hawana","Mark Kurlansky","„Booklist”"
"Hawana","Mark Kurlansky","„Publishers Weekly”"
"Hawana","Mark Kurlansky","„Cuba Trade Magazine”"
"Hen","Ilona Wiśniewska","Filip Springer"
"Hiacynt","Remigiusz Ryziński","Marcin Ciastoń, scenarzysta filmu „Hiacynt”"
"Higieniści","Maciej Zaremba Bielawski","ks. Adam Boniecki"
"Higieniści","Maciej Zaremba Bielawski","Prof. Marek Safjan"
"Higieniści","Maciej Zaremba Bielawski","Agnieszka Graff"
"Higieniści","Maciej Zaremba Bielawski","Peter Englund"
"Higieniści","Maciej Zaremba Bielawski","„The Washington Post”"
"Higieniści","Maciej Zaremba Bielawski","„Helsingborgs Dagblad”"
"Higieniści","Maciej Zaremba Bielawski","„Le Monde”"
"Higieniści","Maciej Zaremba Bielawski","David Karlsson"
"Hipnotyzer","Lars Kepler","Robert Ostaszewski"
"Hipnotyzer","Lars Kepler","„Kristianstadsbladet”"
"Hipnotyzer","Lars Kepler","Agnieszka Mazuś"
"Hipnotyzer","Lars Kepler","„Norrköpings Tidningar”"
"Hipnotyzer","Lars Kepler","„Amelia”"
"Hipnotyzer","Lars Kepler","Szwedzkie Radio"
"Hipnotyzer","Lars Kepler","„Tidningen Kulturen”"
"Hipnotyzer","Lars Kepler","„Berlingske Tidende”"
"Historia z chmury","Marius Ivaškevičius","Rasy Rimickaitë"
"Hongkong","Piotr Bernardyn","Jędrzej Winiecki"
"Honor","Lene Wold","Paula Szewczyk, „Wysokie Obcasy”"
"Hotel dla twoich rzeczy","Joanna Jagiełło","Wioletta Grzegorzewska"
"Hotel dla twoich rzeczy","Joanna Jagiełło","Grażyna Plebanek"
"Hrabal","Aleksander Kaczorowski","Agnieszka Glińska"
"Huśtawka","Agata Miklaszewska","Dorota Jovanka Ćirlić"
"Huśtawka","Agata Miklaszewska","Robert Ostaszewski"
"Huśtawka oddechu","Herta Müller","Karl-Markus Gauß"
"Huśtawka oddechu","Herta Müller","Stefana Sabin"
"Huśtawka oddechu","Herta Müller","Ruth Klüger"
"Huśtawka oddechu","Herta Müller","Michael Lentz"
"Huśtawka oddechu","Herta Müller","Nora Reinhardt"
"Huśtawka oddechu","Herta Müller","Ulrich Bergmann"
"Hymn demokratycznej młodzieży","Serhij Żadan","Igor Stokfiszewski"
"Idzie tu wielki chłopak","Grzegorz Bogdał","Zyta Rudzka"
"Idź za mną","Amanda Montell","Jagoda Ratajczak"
"Idź za mną","Amanda Montell","Molly Ringwald"
"Idź za mną","Amanda Montell","„Kirkus Reviews”"
"Idź za mną","Amanda Montell","Elisabeth Thomas"
"Idź za mną","Amanda Montell","Chelsea Bieker"
"Idź za mną","Amanda Montell","Alexis Henderson"
"Idź za mną","Amanda Montell","Andrea Bartz"
"Idź za mną","Amanda Montell","„Bitch”"
"I ktoś rzucił za nim zdechłego psa","Jean Rolin","Le Nouvel Observateur"
"I ktoś rzucił za nim zdechłego psa","Jean Rolin","Technikart"
"I ktoś rzucił za nim zdechłego psa","Jean Rolin","20 minutes"
"I ktoś rzucił za nim zdechłego psa","Jean Rolin","prof. Magdalena Środa"
"Imperium bólu","Patrick Radden Keefe","Dariusz Rosiak"
"Imperium bólu","Patrick Radden Keefe","Jonathan Cohn, „The Washington Post”"
"Imperium bólu","Patrick Radden Keefe","„Time”, rekomendacja towarzysząca przyznaniu tytułu jednej z najlepszych książek 2021 roku"
"Imperium bólu","Patrick Radden Keefe","David M. Shribman, „The Boston Globe”"
"Imperium bólu","Patrick Radden Keefe","Jennifer Szalai, „The New York Times”"
"Imperium bólu","Patrick Radden Keefe","Laura Miller, „Slate”"
"Imperium bólu","Patrick Radden Keefe","John Carreyrou, „The New York Times Book Review”"
"Imperium bólu","Patrick Radden Keefe","Carol Haggas, „Booklist”"
"Imperium bólu","Patrick Radden Keefe","Brian Mann, National Public Radio"
"Imperium księżyca w pełni","S. C. Gwynne","Marek Bieńczyk"
"Imperium księżyca w pełni","S. C. Gwynne","„The New York Times Book Review”"
"Imperium księżyca w pełni","S. C. Gwynne","Larry McMurtry"
"Imperium księżyca w pełni","S. C. Gwynne","„Cleveland Plain Dealer”"
"Imperium księżyca w pełni","S. C. Gwynne","„Chicago Tribune”"
"Imperium tajemnic","Calder Walton","Ed Vulliamy, „The Observer”"
"Imperium tajemnic","Calder Walton","„The Wall Street Journal”"
"Imperium tajemnic","Calder Walton","„Booklist”"
"Imperium tajemnic","Calder Walton","Peter Hennessy"
"Indie","V.S. Naipaul","Paulina Wilk"
"Indie","V.S. Naipaul","Paul Theroux"
"Indie","V.S. Naipaul","„The New York Times Book Review”"
"Indie","V.S. Naipaul","„The Washington Post”"
"Indie","V.S. Naipaul","„The Seattle Times”"
"Indie","V.S. Naipaul","„The Christian Science Monitor”"
"Indie","V.S. Naipaul","„The Spektator”"
"Indie","V.S. Naipaul","„Minneapolis Star Tribune”"
"Indie","V.S. Naipaul","„The Toronto Star”"
"Indonezja itd.","Elizabeth Pisani","Andrzej Muszyński"
"Indonezja itd.","Elizabeth Pisani","Pallavi Aiyar, „Los Angeles Review of Books”"
"Indonezja itd.","Elizabeth Pisani","Misha Glenny, „Guardian”"
"Inne dni Anny","Taras Prochaśko","Jurij Andruchowycz"
"Inne przestrzenie, inne miejsca. Mapy i terytoria","Wybór, redakcja, wstęp Dariusz Czaja","Piotr Mucharski, redaktor naczelny „Tygodnika Powszechnego”"
"Inne przestrzenie, inne miejsca. Mapy i terytoria","Wybór, redakcja, wstęp Dariusz Czaja","Zbigniew Benedyktowicz, redaktor naczelny „Kontekstów”"
"Inne przestrzenie, inne miejsca. Mapy i terytoria","Wybór, redakcja, wstęp Dariusz Czaja","Roch Sulima"
"Instrukcja dla pań sprzątających","Lucia Berlin","Z przedmowy Lydii Davis"
"Instrukcja dla pań sprzątających","Lucia Berlin","„The New York Times”"
"Instrukcja dla pań sprzątających","Lucia Berlin","„The New York Times Book Review”"
"Instrukcja dla pań sprzątających","Lucia Berlin","„The Washington Post”"
"Instrukcja dla pań sprzątających","Lucia Berlin","„The Boston Globe”"
"Instrukcja dla pań sprzątających","Lucia Berlin","„Time”"
"Instrukcja dla pań sprzątających","Lucia Berlin","„Entertainment Weekly”"
"Instynkt","Anna Maziuk","Adam Wajrak"
"Internat","Serhij Żadan","Wojciech Orliński"
"Irak","Paweł Smoleński","Artur Domosławski"
"Irak","Paweł Smoleński","Hatif Janabi"
"Irak","Paweł Smoleński","Adam Michnik"
"Irak","Paweł Smoleński","Ryszard Kapuściński"
"Izbica, Izbica","Rafał Hetman","Magdalena Kicińska"
"Izmir","Marcelina Szumer-Brysz","Agnieszka Lichnerowicz, TOK FM"
"Izrael już nie frunie","Paweł Smoleński","Etgar Keret"
"Izrael już nie frunie","Paweł Smoleński","Konstanty Gebert"
"Izrael już nie frunie","Paweł Smoleński","Michał Sobelman"
"Izrael już nie frunie","Paweł Smoleński","Agnieszka Wolny-Hamkało"
"Jacek","Anna Bikont","Agnieszka Holland"
"Jacek","Anna Bikont","Adam Michnik"
"Jacek","Anna Bikont","Karol Modzelewski"
"Jacek","Anna Bikont","Andrzej Friszke"
"Jacek","Helena Łuczywo","Agnieszka Holland"
"Jacek","Helena Łuczywo","Adam Michnik"
"Jacek","Helena Łuczywo","Karol Modzelewski"
"Jacek","Helena Łuczywo","Andrzej Friszke"
"Jadąc do Babadag","Andrzej Stasiuk","Justyna Sobolewska"
"Jadąc do Babadag","Andrzej Stasiuk","Paweł Gołoburda"
"Jadąc do Babadag","Andrzej Stasiuk","Robert Ostaszewski"
"Jadąc do Babadag","Andrzej Stasiuk","Jarosław Klejnocki"
"Jadąc do Babadag","Andrzej Stasiuk","Piotr Siemion"
"Jądro dziwności","Peter Pomerantsev","„Washington Post”"
"Jądro dziwności","Peter Pomerantsev","„Publishers Weekly”"
"Jądro dziwności","Peter Pomerantsev","„The Times”"
"Jądro dziwności","Peter Pomerantsev","Anne Applebaum"
"Jakbyś kamień jadła","Wojciech Tochman","Jurij Andruchowycz"
"Jakbyś kamień jadła","Wojciech Tochman","The Times"
"Jakbyś kamień jadła","Wojciech Tochman","The Financial Times"
"Jakbyś kamień jadła","Wojciech Tochman","Literary Review"
"Jak kochać własną córkę","Hila Blum","Miriam Synger"
"Jak kochać własną córkę","Hila Blum","Sigrid Nunez"
"Jak kochać własną córkę","Hila Blum","„Publishers Weekly”"
"Jak kochać własną córkę","Hila Blum","Ann Packer"
"Jak kochać własną córkę","Hila Blum","„Kirkus Reviews”"
"Jak kochać własną córkę","Hila Blum","Meg Wolitzer"
"Jakuck","Michał Książek","Mariusz Wilk"
"Jakuck","Michał Książek","Andrzej Dybczak"
"Jak żołnierz gramofon reperował","Sasa Stanišić","Ilma Rakusa"
"Jak żołnierz gramofon reperował","Sasa Stanišić","Michał Nogaś"
"Jak zostałem pisarzem","Andrzej Stasiuk","Andrzej Stasiuk"
"Jak zostałem pisarzem","Andrzej Stasiuk","Jarosław Klejnocki"
"Ja łebków nie dawałem","Jakub Szymczak","Anna Bikont"
"Janis","Holly George-Warren","Jerzy Jarniewicz"
"Janis","Holly George-Warren","Rosanne Cash"
"Janis","Holly George-Warren","„Texas Observer”"
"Janis","Holly George-Warren","„New York Times Book Review”"
"Janis","Holly George-Warren","„Kirkus”"
"Jan Sehn","Filip Gańczak","prof. Antoni Dudek"
"Jasne dni","Zsuzsa Bánk","Katarzyna Kazimierowska, redaktorka portalu Zwierciadlo.pl"
"Jasne dni","Zsuzsa Bánk","Zośka Papużanka"
"Ja śpiewam, a góry tańczą","Irene Solà","Katarzyna Kazimierowska"
"Ja śpiewam, a góry tańczą","Irene Solà","Mariana Enríquez"
"Ja śpiewam, a góry tańczą","Irene Solà","„Publishers Weekly”"
"Ja śpiewam, a góry tańczą","Irene Solà","C Pam Zhang"
"Ja śpiewam, a góry tańczą","Irene Solà","Max Porter"
"Ja śpiewam, a góry tańczą","Irene Solà","Booklist"
"Ja śpiewam, a góry tańczą","Irene Solà","Theo Henderson, Shelf Awareness"
"Ja śpiewam, a góry tańczą","Irene Solà","Maura Krause"
"Ja śpiewam, a góry tańczą","Irene Solà","„Washington Independent Review of Books”"
"Ja śpiewam, a góry tańczą","Irene Solà","„Chicago Review of Books”"
"Jechałem Żelaznym Kogutem","Paul Theroux","„USA Today”"
"Jechałem Żelaznym Kogutem","Paul Theroux","„Conde Nast Traveler”"
"Jechałem Żelaznym Kogutem","Paul Theroux","„The Miami Herald”"
"Jerry'ego Lee Lewisa opowieść o własnym życiu","Rick Bragg","Przemysław Gulda, „Gazeta Wyborcza”"
"Jerry'ego Lee Lewisa opowieść o własnym życiu","Rick Bragg","„Vintage Guitar Magazine”"
"Jerry'ego Lee Lewisa opowieść o własnym życiu","Rick Bragg","Stephen King, „The New York Times Book Review”"
"Jerry'ego Lee Lewisa opowieść o własnym życiu","Rick Bragg","Shelf Awareness"
"Jerry'ego Lee Lewisa opowieść o własnym życiu","Rick Bragg","„Entertainment Weekly”"
"Jerry'ego Lee Lewisa opowieść o własnym życiu","Rick Bragg","Ron Rash"
"Jerry'ego Lee Lewisa opowieść o własnym życiu","Rick Bragg","„Library Journal”"
"Jeść przyzwoicie","Karen Duve","Irena Cieślińska"
"Jeść przyzwoicie","Karen Duve","„Wendekreis”"
"Jeść przyzwoicie","Karen Duve","„Tagesspiegel”"
"Jeść przyzwoicie","Karen Duve","Andrea Gerk, „NDR Kultur”"
"Jeść przyzwoicie","Karen Duve","Katja Eßbach, „NDR Info”"
"Jeść przyzwoicie","Karen Duve","Frank Keil, „die Welt”"
"Jeść przyzwoicie","Karen Duve","Agnieszka Nietresta-Zatoń"
"Jestem Czeczenem","German Sadułajew","Bartosz Marzec"
"Jestem Czeczenem","German Sadułajew","Paweł Reszka"
"Jestem komunistyczną babą!","Dan Lungu","Sylwia Chutnik"
"Jestem stamtąd, jestem stąd","Mourid Barghouti","Paweł Smoleński"
"Jestem stamtąd, jestem stąd","Mourid Barghouti","Jake Wallis Simons"
"Jestem stamtąd, jestem stąd","Mourid Barghouti","„Economist”"
"Jestem stamtąd, jestem stąd","Mourid Barghouti","Edward Said"
"Jestem stamtąd, jestem stąd","Mourid Barghouti","John Berger"
"Jestem stamtąd, jestem stąd","Mourid Barghouti","Tom Paulin"
"Jestem stamtąd, jestem stąd","Mourid Barghouti","„Metro”"
"Jest noc","Ludmiła Pietruszewska","Sylwia Chutnik"
"Jest noc","Ludmiła Pietruszewska","Piotr Kofta"
"Jest noc","Ludmiła Pietruszewska","Publishers Weekly"
"Jest noc","Ludmiła Pietruszewska","The Guardian"
"Jest noc","Ludmiła Pietruszewska","John Bayley"
"Jest noc","Ludmiła Pietruszewska","Amazon.com"
"Jest noc","Ludmiła Pietruszewska","Sunday Times"
"Jest noc","Ludmiła Pietruszewska","The Big Issue"
"Jest noc","Ludmiła Pietruszewska","Booklist"
"Jest noc","Ludmiła Pietruszewska","The Independent on Sunday"
"Jest noc","Ludmiła Pietruszewska","Cosmopolitan"
"Jeszcze dzisiaj nie usiadłam","Agnieszka Drotkiewicz","Agnieszka Drotkiewicz"
"Jeszcze dzisiaj nie usiadłam","Agnieszka Drotkiewicz","prof. Roch Sulima"
"Jeszcze dzisiaj nie usiadłam","Agnieszka Drotkiewicz","Monika Richardson"
"Jeszcze dzisiaj nie usiadłam","Agnieszka Drotkiewicz","Basil Kerski"
"Jeszcze rok","Sana Krasikov","Marta Mizuro"
"Jeszcze rok","Sana Krasikov","Miami Herald"
"Jeszcze rok","Sana Krasikov","Publishers weekly"
"Jeszcze rok","Sana Krasikov","Time Out New York"
"Jeszcze rok","Sana Krasikov","Kirkus Reviews"
"Jeszcze rok","Sana Krasikov","San Francisco Chronicie"
"Język baklawy","Diana Abu-Jaber","Ludwika Włodek"
"Język baklawy","Diana Abu-Jaber","Elle"
"Język baklawy","Diana Abu-Jaber","O: The Oprah Magazine"
"J jak jastrząb","Helen Macdonald","Melissa Harrison, „Financial Times”"
"J jak jastrząb","Helen Macdonald","Mark Cocker, „Guardian”"
"J jak jastrząb","Helen Macdonald","Craig Brown, „Daily Mail”"
"J jak jastrząb","Helen Macdonald","John Carey, „Sunday Times”"
"J jak jastrząb","Helen Macdonald","Erica Wagner, „The Economist”"
"J jak jastrząb","Helen Macdonald","Caroline Sanderson, „The Bookseller”"
"Jul","Paweł Goźliński","Jarosław Klejnocki"
"Jul","Paweł Goźliński","Łukasz Orbitowski"
"Jul","Paweł Goźliński","Kazimiera Szczuka"
"Jurata","Anna Tomiak","Filip Niedenthal, redaktor naczelny „Vogue Polska”"
"Jutro przypłynie królowa","Maciej Wasielewski","Filip Springer"
"Jutro przypłynie królowa","Maciej Wasielewski","Witold Szabłowski"
"Kajś","Zbigniew Rokita","Małgorzata Szejnert"
"Kajś [edycyjŏ ślōnskŏ]","Zbigniew Rokita","Małgorzata Szejnert"
"Kamienista ziemia","Bernhard Jaumann","„Mittelbayerische Zeitung”"
"Kamienista ziemia","Bernhard Jaumann","WDR 2 Bücher"
"Kamienista ziemia","Bernhard Jaumann","„Frankfurter Neue Presse”"
"Kamienny dom","Anthony Shadid","Jerzy Haszczyński"
"Kamienny dom","Anthony Shadid","André Aciman, autor „Wyjścia z Egiptu”"
"Kamienny dom","Anthony Shadid","„Telegraph”"
"Kamienny dom","Anthony Shadid","„Forbes”"
"Kamienny dom","Anthony Shadid","„The Washington Post”"
"Kamienny dom","Anthony Shadid","„The Telegraph”"
"Kamyk","Agata Miklaszewska","Marek Zaleski"
"Kamyk","Agata Miklaszewska","Karolina Wasielewska"
"Kamyk","Agata Miklaszewska","Robert Ostaszewski"
"Kamyk","Agata Miklaszewska","Marta Mizuro"
"Kamyk","Agata Miklaszewska","Urszula Śmietana"
"Karawana kryzysu","Linda Polman","Janina Ochojska"
"Karawana kryzysu","Linda Polman","Anna Wacławik-Orpik"
"Karawana kryzysu","Linda Polman","Paul Scheffer"
"Karbala","Grzegorz Kaliciak","Bogusław Politowski, „Polska Zbrojna”"
"Kaszëbë","Tomasz Słomczyński","Grzegorz Wysocki, „Gazeta Wyborcza”"
"Każdego dnia","Terézia Mora","Elke Heidenreich"
"Każdego dnia","Terézia Mora","Michael Adrian"
"Każdego dnia","Terézia Mora","Verena Auffermann"
"Kiczery","Adam Robiński","Michał Książek"
"Kiedyś był tu koniec świata","Florian Klenk","Karl-Markus Gauß"
"Kiedyś był tu koniec świata","Florian Klenk","Martin Pollack"
"Kim Dzong Un","Sun Heidi Sæbø","Marcin Wilk"
"Kim Dzong Un","Sun Heidi Sæbø","„Aftenposten”"
"Kim Dzong Un","Sun Heidi Sæbø","„Fædrelandsvennen”"
"Kłamczuch","Jędrzej Pasierski","Piotr Bratkowski, „Newsweek”"
"Klasztor. Żałoba","Eduardo Halfon","Katarzyna Janowska"
"Klasztor. Żałoba","Eduardo Halfon","„Publishers Weekly”"
"Klasztor. Żałoba","Eduardo Halfon","„New York Review of Books”"
"Klasztor. Żałoba","Eduardo Halfon","„Los Angeles Times”"
"Klasztor. Żałoba","Eduardo Halfon","„Kirkus Reviews”"
"Klasztor. Żałoba","Eduardo Halfon","Francisco Goldman"
"Klasztor. Żałoba","Eduardo Halfon","„World Literature Today”"
"Klasztor. Żałoba","Eduardo Halfon","„Booklist”"
"Klasztor. Żałoba","Eduardo Halfon","„The Rumpus”"
"Klawisze","Drauzio Varella","Aleksandra Szyłło, „Gazeta Wyborcza“"
"Klawisze","Drauzio Varella","Nahima Maciel, „Correio Braziliense”"
"Klawisze","Drauzio Varella","Ubiratan Brasil, „O Estado de São Paulo”"
"Klawisze","Drauzio Varella","Marcia Abos, „O Globo”"
"Klub Łgarzy","Mary Karr","Ewa Winnicka"
"Klub Łgarzy","Mary Karr","„Vogue”"
"Klub Łgarzy","Mary Karr","Tobias Wolff"
"Klub Łgarzy","Mary Karr","Bradford Morrow"
"Klub Łgarzy","Mary Karr","„The Voice Literary Supplement”"
"Klub Łgarzy","Mary Karr","„Los Angeles Times”"
"Klub Łgarzy","Mary Karr","„Newsweek”"
"Kobieta bez grobu","Martin Pollack","Manfred Papst, „Neue Zürcher Zeitung”"
"Kobieta bez grobu","Martin Pollack","Oliver vom Hove, „Die Presse – Spectrum”"
"Kobieta bez grobu","Martin Pollack","Andreas Wirthensohn, „Wiener Zeitung”"
"Kobieta bez grobu","Martin Pollack","Gustav Seibt, „Süddeutsche Zeitung”"
"Kobiety ich mężczyzn","Sofija Andruchowycz","Taras Prochaśko"
"Kobiety ich mężczyzn","Sofija Andruchowycz","Mariusz Grzebalski"
"Kobiety ich mężczyzn","Sofija Andruchowycz","Justyna Jaworska"
"Kobiety ich mężczyzn","Sofija Andruchowycz","Sofija Andruchowycz"
"Kobiety ich mężczyzn","Sofija Andruchowycz","Bernadetta Darska, „Dziennik”"
"Kobiety i inne potwory","Jess Zimmerman","Carmen Maria Machado"
"Kobiety i inne potwory","Jess Zimmerman","Anna Konieczyńska, „Vogue”"
"Kobiety i inne potwory","Jess Zimmerman","„Kirkus Reviews”"
"Kobiety i inne potwory","Jess Zimmerman","„The Progressive”"
"Kobiety i inne potwory","Jess Zimmerman","„Shelf Awareness”"
"Kobro","Małgorzata Czyńska","Katarzyna Kozyra"
"Kocham cię, ale wybieram ciemność","Claire Vaye Watkins","„The New York Times Book Review”"
"Kocham cię, ale wybieram ciemność","Claire Vaye Watkins","„Kirkus Reviews”"
"Kocham cię, ale wybieram ciemność","Claire Vaye Watkins","„Booklist”"
"Kocham cię, ale wybieram ciemność","Claire Vaye Watkins","Jenny Offill"
"Kocham cię, ale wybieram ciemność","Claire Vaye Watkins","„Los Angeles Times”"
"Kocham cię, ale wybieram ciemność","Claire Vaye Watkins","„The Boston Globe”"
"Kocham cię, ale wybieram ciemność","Claire Vaye Watkins","„The New Yorker”"
"Kocham cię, ale wybieram ciemność","Claire Vaye Watkins","National Public Radio"
"Kocham cię, ale wybieram ciemność","Claire Vaye Watkins","„Vanity Fair”"
